"","Gender","Age","Education_level","Employment_status","Income_group","Country","Household_members_number","Number_vehicles_household","Leisure_trips_number","Plan_to_purchase_vehicle","buy_electric"
"8080","M",29,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Italy","three",2,2,"Yes, in the next 2 years",FALSE
"8081","F",48,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Italy","two",1,0,"Don’t know/no answer",FALSE
"8082","M",38,"Lower secondary (upper elementary school)","Full time employed","middle","Italy","four",1,1,"Yes, in the next 12 months",FALSE
"8083","M",32,"Lower secondary (upper elementary school)","Full time employed","low","Italy","two",1,0,"No",TRUE
"8084","M",43,"Lower secondary (upper elementary school)","Full time employed","middle","Italy","five",1,3,"Yes, in the next 2 years",TRUE
"8085","F",54,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Italy","two",1,0,"Don’t know/no answer",FALSE
"8086","F",31,"Lower secondary (upper elementary school)","Full time employed","middle","Italy","two",1,1,"Yes, in the next 2 years",TRUE
"8087","M",38,"Lower secondary (upper elementary school)","Full time employed","low","Italy","three",1,0,"No",TRUE
"8088","M",44,"Lower secondary (upper elementary school)","Full time employed","middle","Italy","five",1,0,"No",TRUE
"8089","F",57,"Tertiary and higher (University degree or PhD)","Retired","middle","Italy","two",2,6,"Yes, in the next 2 years",FALSE
"8090","M",63,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Italy","three",3,0,"No",TRUE
"8091","F",49,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Italy","two",1,0,"Yes, in the next 2 years",FALSE
"8092","M",41,"Lower secondary (upper elementary school)","Full time employed","middle","Italy","three",1,1,"No",FALSE
"8093","F",41,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Italy","three",4,2,"No",TRUE
"8094","M",56,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","four",1,0,"Yes, in the next 2 years",FALSE
"8095","M",26,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","five",2,4,"No",TRUE
"8096","M",60,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","three",2,1,"Yes, in the next 2 years",FALSE
"8097","F",55,"Upper secondary (high school)","Other","lower middle","Latvia","two",1,6,"Yes, in the next 12 months",FALSE
"8098","F",31,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",1,0,"Yes, in the next 12 months",FALSE
"8099","M",36,"Upper secondary (high school)","Full time employed","middle","Latvia","three",1,1,"Yes, in the next 6 months",FALSE
"8100","M",37,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,5,"No",TRUE
"8101","M",34,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","two",1,0,"Don’t know/no answer",TRUE
"8102","F",33,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,1,"Yes, in the next 12 months",TRUE
"8103","F",45,"Upper secondary (high school)","Part time employed","lower middle","Latvia","more than five",1,1,"No",TRUE
"8104","M",61,"Upper secondary (high school)","Full time employed","middle","Latvia","five",2,0,"Yes, in the next 6 months",FALSE
"8105","F",35,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","one (myself)",1,4,"Yes, in the next 12 months",FALSE
"8106","M",43,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",2,1,"Yes, in the next 2 years",FALSE
"8107","F",50,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Latvia","three",2,0,"Yes, in the next 2 years",FALSE
"8108","F",31,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",1,1,"Yes, in the next 12 months",FALSE
"8109","F",52,"Upper secondary (high school)","Part time employed","lower middle","Latvia","four",2,2,"No",FALSE
"8110","F",48,"Upper secondary (high school)","Full time employed","lower middle","Latvia","one (myself)",1,1,"Don’t know/no answer",TRUE
"8111","F",37,"Upper secondary (high school)","Full time employed","middle","Latvia","two",2,1,"Yes, in the next 2 years",FALSE
"8112","M",38,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,0,"Yes, in the next 12 months",FALSE
"8113","F",53,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",1,0,"Yes, in the next 2 years",FALSE
"8114","F",30,"Lower secondary (upper elementary school)","Part time employed","high","Latvia","three",1,0,"Yes, in the next 12 months",TRUE
"8115","M",34,"Upper secondary (high school)","Full time employed","high","Latvia","one (myself)",1,10,"Yes, in the next 12 months",TRUE
"8116","M",36,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",2,2,"No",FALSE
"8117","F",53,"Upper secondary (high school)","Full time employed","middle","Latvia","two",2,1,"No",FALSE
"8118","F",48,"Upper secondary (high school)","Full time employed","middle","Latvia","four",2,2,"Yes, in the next 12 months",FALSE
"8119","M",40,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","four",1,2,"Yes, in the next 12 months",TRUE
"8120","M",42,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","one (myself)",1,0,"Yes, in the next 12 months",FALSE
"8121","F",31,"Upper secondary (high school)","Other","middle","Latvia","more than five",1,8,"Yes, in the next 6 months",FALSE
"8122","M",41,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","two",0,4,"Yes, in the next 12 months",TRUE
"8123","M",50,"Tertiary and higher (University degree or PhD)","Unemployed","higher middle","Latvia","more than five",2,2,"Yes, in the next 2 years",FALSE
"8124","M",51,"Upper secondary (high school)","Part time employed","middle","Latvia","four",1,25,"Yes, in the next 6 months",FALSE
"8125","M",27,"Upper secondary (high school)","Full time employed","higher middle","Latvia","one (myself)",1,1,"Yes, in the next 2 years",FALSE
"8126","F",36,"Tertiary and higher (University degree or PhD)","Other","middle","Latvia","three",1,3,"Yes, in the next 12 months",TRUE
"8127","F",58,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Latvia","four",3,0,"Yes, in the next 2 years",FALSE
"8128","M",59,"Tertiary and higher (University degree or PhD)","Retired","higher middle","Latvia","two",3,3,"Yes, in the next 6 months",FALSE
"8129","F",19,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",2,2,"Yes, in the next 12 months",TRUE
"8130","F",30,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",1,1,"Yes, in the next 2 years",FALSE
"8131","F",57,"Upper secondary (high school)","Full time employed","middle","Latvia","more than five",3,0,"No",FALSE
"8132","F",23,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",1,0,"Don’t know/no answer",FALSE
"8133","F",46,"Lower secondary (upper elementary school)","Unemployed","middle","Latvia","three",1,0,"Yes, in the next 12 months",FALSE
"8134","F",44,"Upper secondary (high school)","Other","middle","Latvia","four",2,2,"Yes, in the next 12 months",TRUE
"8135","M",26,"Tertiary and higher (University degree or PhD)","Studying","middle","Latvia","four",2,1,"Yes, in the next 12 months",TRUE
"8136","M",52,"Upper secondary (high school)","Full time employed","lower middle","Latvia","two",1,5,"Yes, in the next 12 months",TRUE
"8137","F",54,"Upper secondary (high school)","Other","middle","Latvia","one (myself)",1,50,"Don’t know/no answer",FALSE
"8138","F",32,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,2,"No",TRUE
"8139","M",39,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",1,4,"Yes, in the next 12 months",FALSE
"8140","F",54,"Upper secondary (high school)","Other","low","Latvia","two",1,1,"Yes, in the next 12 months",FALSE
"8141","M",56,"Tertiary and higher (University degree or PhD)","Full time employed","low","Latvia","two",1,10,"Yes, in the next 6 months",TRUE
"8142","M",34,"Upper secondary (high school)","Full time employed","middle","Latvia","four",2,3,"Yes, in the next 2 years",FALSE
"8143","M",46,"Upper secondary (high school)","Full time employed","middle","Latvia","two",1,0,"Yes, in the next 2 years",FALSE
"8144","M",38,"Upper secondary (high school)","Full time employed","lower middle","Latvia","four",2,0,"Don’t know/no answer",FALSE
"8145","F",55,"Lower secondary (upper elementary school)","Part time employed","lower middle","Latvia","two",3,5,"No",FALSE
"8146","F",23,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","more than five",2,2,"Yes, in the next 12 months",FALSE
"8147","M",46,"Upper secondary (high school)","Full time employed","lower middle","Latvia","two",2,4,"No",TRUE
"8148","F",40,"Upper secondary (high school)","Unemployed","lower middle","Latvia","four",1,1,"Yes, in the next 2 years",TRUE
"8149","M",44,"Upper secondary (high school)","Full time employed","middle","Latvia","four",2,6,"Yes, in the next 2 years",TRUE
"8150","F",56,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","two",1,2,"Yes, in the next 2 years",TRUE
"8151","M",52,"Upper secondary (high school)","Part time employed","middle","Latvia","three",1,0,"Yes, in the next 12 months",TRUE
"8152","M",46,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",1,0,"Yes, in the next 6 months",TRUE
"8153","F",45,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,10,"No",TRUE
"8154","M",58,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","one (myself)",1,2,"Yes, in the next 2 years",TRUE
"8155","M",49,"Upper secondary (high school)","Full time employed","middle","Latvia","three",2,5,"Yes, in the next 2 years",FALSE
"8156","M",46,"Upper secondary (high school)","Unemployed","I prefer not to answer","Latvia","two",1,0,"Don’t know/no answer",FALSE
"8157","F",30,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,2,"No",FALSE
"8158","F",38,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","five",2,1,"Yes, in the next 2 years",FALSE
"8159","F",28,"Tertiary and higher (University degree or PhD)","Part time employed","lower middle","Latvia","three",2,0,"No",TRUE
"8160","F",37,"Upper secondary (high school)","Unemployed","higher middle","Latvia","four",1,3,"Yes, in the next 6 months",TRUE
"8161","F",39,"Primary (elementary school)","Full time employed","middle","Latvia","two",2,1,"Yes, in the next 2 years",FALSE
"8162","F",29,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",1,1,"Yes, in the next 6 months",FALSE
"8163","F",33,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","four",2,0,"Yes, in the next 12 months",TRUE
"8164","F",32,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","four",2,6,"Yes, in the next 2 years",TRUE
"8165","F",31,"Upper secondary (high school)","Full time employed","middle","Latvia","two",2,3,"No",FALSE
"8166","M",49,"Lower secondary (upper elementary school)","Unemployed","lower middle","Latvia","one (myself)",1,1,"Yes, in the next 2 years",TRUE
"8167","F",33,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","four",2,2,"Yes, in the next 12 months",TRUE
"8168","M",57,"Lower secondary (upper elementary school)","Full time employed","middle","Latvia","one (myself)",1,1,"Yes, in the next 2 years",TRUE
"8169","M",52,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","one (myself)",1,2,"Don’t know/no answer",FALSE
"8170","M",60,"Tertiary and higher (University degree or PhD)","Retired","higher middle","Latvia","two",2,3,"Yes, in the next 6 months",FALSE
"8171","F",33,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","four",2,0,"Yes, in the next 12 months",FALSE
"8172","F",43,"Tertiary and higher (University degree or PhD)","I prefer not to answer","I prefer not to answer","Latvia","two",1,1,"Don’t know/no answer",FALSE
"8173","M",32,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",2,0,"Yes, in the next 6 months",TRUE
"8174","F",34,"Tertiary and higher (University degree or PhD)","Unemployed","middle","Latvia","four",1,5,"Yes, in the next 12 months",FALSE
"8175","F",23,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Latvia","two",1,2,"Yes, in the next 12 months",FALSE
"8176","F",21,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,1,"No",FALSE
"8177","F",43,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","more than five",2,1,"Yes, in the next 2 years",TRUE
"8178","F",35,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",1,4,"Don’t know/no answer",TRUE
"8179","F",49,"Lower secondary (upper elementary school)","Part time employed","lower middle","Latvia","two",1,1,"No",FALSE
"8180","F",40,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","one (myself)",1,5,"Yes, in the next 12 months",TRUE
"8181","F",21,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","more than five",2,0,"Yes, in the next 6 months",FALSE
"8182","F",52,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,0,"Yes, in the next 2 years",TRUE
"8183","M",25,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Latvia","three",0,1,"No",TRUE
"8184","M",47,"Upper secondary (high school)","Full time employed","lower middle","Latvia","five",1,0,"Yes, in the next 12 months",FALSE
"8185","F",46,"Tertiary and higher (University degree or PhD)","I prefer not to answer","higher middle","Latvia","four",2,0,"Yes, in the next 2 years",FALSE
"8186","F",31,"Lower secondary (upper elementary school)","Unemployed","lower middle","Latvia","four",1,1,"Yes, in the next 6 months",FALSE
"8187","F",32,"Upper secondary (high school)","Part time employed","middle","Latvia","three",1,1,"Yes, in the next 6 months",FALSE
"8188","F",35,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",1,6,"Yes, in the next 2 years",TRUE
"8189","M",46,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","more than five",2,0,"Yes, in the next 2 years",TRUE
"8190","F",32,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",2,1,"Yes, in the next 6 months",TRUE
"8191","M",38,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","two",2,4,"No",FALSE
"8192","F",45,"Tertiary and higher (University degree or PhD)","Other","lower middle","Latvia","three",1,0,"No",FALSE
"8193","M",22,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","five",2,0,"Yes, in the next 6 months",FALSE
"8194","M",38,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","three",2,0,"No",FALSE
"8195","F",33,"Upper secondary (high school)","Full time employed","lower middle","Latvia","two",1,0,"Yes, in the next 12 months",FALSE
"8196","F",45,"Tertiary and higher (University degree or PhD)","Other","lower middle","Latvia","three",2,2,"Yes, in the next 2 years",TRUE
"8197","F",46,"Upper secondary (high school)","Full time employed","lower middle","Latvia","one (myself)",1,4,"Yes, in the next 2 years",FALSE
"8198","M",29,"Upper secondary (high school)","Full time employed","middle","Latvia","three",2,3,"Yes, in the next 2 years",TRUE
"8199","F",48,"Upper secondary (high school)","Full time employed","middle","Latvia","more than five",2,2,"Yes, in the next 2 years",FALSE
"8200","F",27,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,5,"Yes, in the next 6 months",FALSE
"8201","F",41,"Upper secondary (high school)","Full time employed","middle","Latvia","two",2,0,"Yes, in the next 2 years",FALSE
"8202","M",41,"Upper secondary (high school)","Full time employed","middle","Latvia","one (myself)",1,0,"Yes, in the next 2 years",TRUE
"8203","F",44,"Primary (elementary school)","Part time employed","low","Latvia","four",1,6,"Yes, in the next 2 years",FALSE
"8204","F",36,"Tertiary and higher (University degree or PhD)","Other","middle","Latvia","four",1,1,"Yes, in the next 12 months",FALSE
"8205","F",32,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",2,1,"Yes, in the next 2 years",FALSE
"8206","F",36,"Primary (elementary school)","Other","low","Latvia","one (myself)",1,0,"No",FALSE
"8207","M",40,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","one (myself)",1,1,"Yes, in the next 6 months",FALSE
"8208","M",43,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","three",1,0,"Yes, in the next 2 years",TRUE
"8209","M",48,"Upper secondary (high school)","Other","low","Latvia","one (myself)",1,0,"Yes, in the next 2 years",TRUE
"8210","F",36,"Upper secondary (high school)","Full time employed","high","Latvia","three",2,1,"Yes, in the next 6 months",TRUE
"8211","M",33,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",1,0,"Yes, in the next 2 years",TRUE
"8212","F",26,"Upper secondary (high school)","Full time employed","lower middle","Latvia","three",2,2,"Yes, in the next 12 months",FALSE
"8213","F",35,"Upper secondary (high school)","Unemployed","higher middle","Latvia","three",1,1,"Yes, in the next 2 years",TRUE
"8214","F",26,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",2,0,"No",FALSE
"8215","F",48,"Upper secondary (high school)","Full time employed","middle","Latvia","two",1,0,"Yes, in the next 6 months",FALSE
"8216","F",33,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Latvia","two",2,2,"Yes, in the next 2 years",FALSE
"8217","F",31,"Upper secondary (high school)","Full time employed","middle","Latvia","two",1,2,"Don’t know/no answer",FALSE
"8218","F",42,"Tertiary and higher (University degree or PhD)","Other","I prefer not to answer","Latvia","five",2,2,"Yes, in the next 6 months",FALSE
"8219","M",39,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",1,1,"Yes, in the next 12 months",TRUE
"8220","M",40,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","more than five",2,0,"No",FALSE
"8221","M",31,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",1,1,"Yes, in the next 12 months",FALSE
"8222","F",36,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","two",2,0,"Don’t know/no answer",FALSE
"8223","F",42,"Tertiary and higher (University degree or PhD)","Other","higher middle","Latvia","five",2,1,"No",TRUE
"8224","F",29,"Primary (elementary school)","Full time employed","high","Latvia","three",2,40,"Yes, in the next 6 months",FALSE
"8225","M",33,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",1,2,"Yes, in the next 12 months",TRUE
"8226","F",43,"Upper secondary (high school)","Part time employed","lower middle","Latvia","two",2,2,"Yes, in the next 2 years",FALSE
"8227","M",37,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",2,1,"Yes, in the next 2 years",TRUE
"8228","M",26,"Tertiary and higher (University degree or PhD)","Full time employed","I prefer not to answer","Latvia","four",3,5,"Yes, in the next 6 months",TRUE
"8229","F",41,"Tertiary and higher (University degree or PhD)","Other","middle","Latvia","four",2,1,"No",TRUE
"8230","F",39,"Upper secondary (high school)","Other","I prefer not to answer","Latvia","one (myself)",1,2,"No",FALSE
"8231","F",30,"Primary (elementary school)","Full time employed","high","Latvia","two",2,2,"Yes, in the next 6 months",FALSE
"8232","M",30,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","four",3,3,"Yes, in the next 12 months",TRUE
"8233","F",24,"Tertiary and higher (University degree or PhD)","Part time employed","middle","Latvia","four",4,1,"No",FALSE
"8234","F",35,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","two",1,12,"Yes, in the next 12 months",TRUE
"8235","M",24,"Upper secondary (high school)","Studying","lower middle","Latvia","more than five",1,0,"No",TRUE
"8236","F",28,"Upper secondary (high school)","Studying","middle","Latvia","three",3,2,"Yes, in the next 2 years",TRUE
"8237","M",35,"Upper secondary (high school)","Full time employed","low","Latvia","one (myself)",1,0,"Yes, in the next 12 months",FALSE
"8238","F",29,"Upper secondary (high school)","Retired","middle","Latvia","three",2,0,"Don’t know/no answer",FALSE
"8239","M",32,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","two",2,10,"Yes, in the next 6 months",FALSE
"8240","M",39,"Upper secondary (high school)","Full time employed","middle","Latvia","two",2,1,"Yes, in the next 2 years",TRUE
"8241","M",33,"Upper secondary (high school)","Full time employed","lower middle","Latvia","two",1,2,"Yes, in the next 2 years",TRUE
"8242","M",44,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,1,"Yes, in the next 12 months",FALSE
"8243","M",40,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",2,1,"Yes, in the next 2 years",TRUE
"8244","M",43,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","five",2,1,"No",TRUE
"8245","M",30,"Upper secondary (high school)","Part time employed","middle","Latvia","one (myself)",1,4,"Yes, in the next 12 months",FALSE
"8246","M",30,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","two",4,10,"Yes, in the next 2 years",TRUE
"8247","M",38,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",2,3,"Yes, in the next 6 months",TRUE
"8248","M",47,"Upper secondary (high school)","Retired","lower middle","Latvia","four",1,5,"Don’t know/no answer",TRUE
"8249","M",49,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",2,9,"Yes, in the next 2 years",TRUE
"8250","M",48,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","five",2,1,"Yes, in the next 2 years",TRUE
"8251","M",43,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",2,1,"Yes, in the next 12 months",FALSE
"8252","M",45,"Tertiary and higher (University degree or PhD)","Full time employed","low","Latvia","five",2,0,"Yes, in the next 2 years",FALSE
"8253","M",39,"Upper secondary (high school)","Full time employed","middle","Latvia","four",2,1,"Yes, in the next 2 years",TRUE
"8254","F",29,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",1,5,"Don’t know/no answer",FALSE
"8255","F",24,"Upper secondary (high school)","Full time employed","middle","Latvia","five",2,10,"No",FALSE
"8256","M",35,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","two",1,1,"Yes, in the next 6 months",FALSE
"8257","F",27,"Tertiary and higher (University degree or PhD)","Studying","middle","Latvia","more than five",3,2,"Yes, in the next 2 years",TRUE
"8258","F",28,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","two",2,15,"Yes, in the next 6 months",TRUE
"8259","F",28,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","three",1,6,"Yes, in the next 2 years",TRUE
"8260","F",29,"Upper secondary (high school)","Full time employed","lower middle","Latvia","three",1,1,"Don’t know/no answer",TRUE
"8261","F",22,"Upper secondary (high school)","Full time employed","higher middle","Latvia","four",2,6,"Don’t know/no answer",FALSE
"8262","F",28,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","three",2,0,"Yes, in the next 2 years",FALSE
"8263","M",24,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","four",4,2,"Yes, in the next 12 months",FALSE
"8264","F",23,"Upper secondary (high school)","Studying","low","Latvia","four",2,3,"Yes, in the next 2 years",TRUE
"8265","M",28,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","two",2,0,"Yes, in the next 6 months",TRUE
"8266","F",24,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",4,3,"Yes, in the next 2 years",FALSE
"8267","M",27,"Tertiary and higher (University degree or PhD)","Studying","lower middle","Latvia","three",1,5,"Yes, in the next 12 months",FALSE
"8268","M",27,"Upper secondary (high school)","Full time employed","lower middle","Latvia","three",2,2,"Yes, in the next 12 months",FALSE
"8269","M",37,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","three",2,0,"Yes, in the next 6 months",FALSE
"8270","M",64,"Lower secondary (upper elementary school)","Part time employed","lower middle","Latvia","four",1,0,"Yes, in the next 6 months",FALSE
"8271","F",42,"Tertiary and higher (University degree or PhD)","Part time employed","higher middle","Latvia","three",2,1,"Yes, in the next 12 months",TRUE
"8272","F",35,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",1,9,"Yes, in the next 2 years",TRUE
"8273","M",47,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",2,2,"Yes, in the next 6 months",TRUE
"8274","M",45,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",2,0,"Yes, in the next 2 years",TRUE
"8275","F",46,"Upper secondary (high school)","Full time employed","middle","Latvia","four",2,1,"Yes, in the next 12 months",FALSE
"8276","M",33,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","two",1,1,"Yes, in the next 12 months",TRUE
"8277","F",64,"Upper secondary (high school)","Part time employed","higher middle","Latvia","two",2,4,"Yes, in the next 2 years",FALSE
"8278","F",36,"Tertiary and higher (University degree or PhD)","Other","lower middle","Latvia","three",1,1,"No",TRUE
"8279","F",42,"Tertiary and higher (University degree or PhD)","Unemployed","middle","Latvia","four",2,3,"Don’t know/no answer",FALSE
"8280","F",55,"Upper secondary (high school)","Full time employed","middle","Latvia","two",1,1,"Yes, in the next 2 years",FALSE
"8281","F",64,"Upper secondary (high school)","Full time employed","middle","Latvia","two",1,0,"No",FALSE
"8282","F",45,"Upper secondary (high school)","Other","middle","Latvia","two",2,1,"No",FALSE
"8283","M",46,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","five",2,20,"Yes, in the next 2 years",TRUE
"8284","M",65,"Upper secondary (high school)","Retired","middle","Latvia","two",1,0,"No",TRUE
"8285","M",62,"Upper secondary (high school)","Full time employed","middle","Latvia","five",4,4,"Yes, in the next 6 months",FALSE
"8286","M",61,"Primary (elementary school)","Unemployed","I prefer not to answer","Latvia","one (myself)",1,1,"Yes, in the next 12 months",FALSE
"8287","M",36,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",1,0,"Yes, in the next 2 years",TRUE
"8288","F",32,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","two",1,0,"Yes, in the next 2 years",FALSE
"8289","F",54,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","one (myself)",1,4,"Yes, in the next 2 years",FALSE
"8290","M",64,"Upper secondary (high school)","Full time employed","middle","Latvia","three",2,1,"Yes, in the next 12 months",TRUE
"8291","M",54,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","four",2,4,"Yes, in the next 12 months",TRUE
"8292","F",46,"Tertiary and higher (University degree or PhD)","Full time employed","higher middle","Latvia","more than five",1,1,"Yes, in the next 12 months",TRUE
"8293","M",56,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","more than five",2,20,"Yes, in the next 2 years",TRUE
"8294","F",55,"Lower secondary (upper elementary school)","Full time employed","higher middle","Latvia","three",3,0,"Yes, in the next 2 years",FALSE
"8295","F",32,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,1,"Yes, in the next 12 months",FALSE
"8296","M",49,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","two",2,5,"Yes, in the next 2 years",FALSE
"8297","F",54,"Lower secondary (upper elementary school)","Full time employed","middle","Latvia","four",2,4,"Yes, in the next 2 years",FALSE
"8298","M",53,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Latvia","four",2,0,"No",FALSE
"8299","M",37,"Primary (elementary school)","Full time employed","middle","Latvia","two",2,0,"Yes, in the next 12 months",FALSE
"8300","M",46,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","five",2,0,"No",FALSE
"8301","F",64,"Lower secondary (upper elementary school)","Retired","middle","Latvia","two",1,0,"Yes, in the next 2 years",TRUE
"8302","F",41,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","three",2,1,"Yes, in the next 12 months",TRUE
"8303","F",62,"Upper secondary (high school)","Full time employed","middle","Latvia","three",1,4,"Don’t know/no answer",FALSE
"8304","M",46,"Upper secondary (high school)","Full time employed","lower middle","Latvia","more than five",4,0,"Yes, in the next 12 months",TRUE
"8305","F",65,"Upper secondary (high school)","Full time employed","lower middle","Latvia","two",2,3,"No",FALSE
"8306","M",45,"Tertiary and higher (University degree or PhD)","Full time employed","lower middle","Latvia","one (myself)",1,0,"Yes, in the next 12 months",FALSE
